Reference, Value, Footprint, Datasheet
U2,CC2400,Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm,
L3,NC,Capacitors_SMD:C_0603_HandSoldering,
R8,4k3,Capacitors_SMD:C_0603_HandSoldering,
C16,1nf,Capacitors_SMD:C_0603_HandSoldering,
C15,1nf,Capacitors_SMD:C_0603_HandSoldering,
C6,1nf,Capacitors_SMD:C_0805_HandSoldering,
C7,10pf,Capacitors_SMD:C_0603_HandSoldering,
C5,6p8,Capacitors_SMD:C_0603_HandSoldering,
C3,1pf,Capacitors_SMD:C_0603_HandSoldering,
L2,2n2,Capacitors_SMD:C_0603_HandSoldering,
C1,2p2,Capacitors_SMD:C_0603_HandSoldering,
P1,SMA,w_conn_rf:lemo_epb00250ntn,
L1,3nH,Capacitors_SMD:C_0603_HandSoldering,
C4,1nf,Capacitors_SMD:C_0805_HandSoldering,
C2,18pf,Capacitors_SMD:C_0603_HandSoldering,
R9,10k,Capacitors_SMD:C_0603_HandSoldering,
C18,68pf,Capacitors_SMD:C_0603_HandSoldering,
C17,100nf,Capacitors_SMD:C_0805_HandSoldering,
Y3,16MHz,Crystals:Crystal_HC49-U_Vertical,
C21,27pf,Capacitors_SMD:C_0603_HandSoldering,
C22,27pf,Capacitors_SMD:C_0603_HandSoldering,
R11,43k,Capacitors_SMD:C_0603_HandSoldering,
C19,10nf,Capacitors_SMD:C_0603_HandSoldering,
C20,68pf,Capacitors_SMD:C_0603_HandSoldering,
C23,100nf,Capacitors_SMD:C_0805_HandSoldering,
U3,STM32F405RGTx,Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm,
P5,USB_B,Connect:USB_Mini-B,
R17,22R,Capacitors_SMD:C_0603_HandSoldering,
R18,22R,Capacitors_SMD:C_0603_HandSoldering,
R19,1K5,Capacitors_SMD:C_0603_HandSoldering,
Q1,9012,TO_SOT_Packages_SMD:SOT-23,
R15,2k2,Capacitors_SMD:C_0603_HandSoldering,
R16,10k,Capacitors_SMD:C_0603_HandSoldering,
R7,100K,Capacitors_SMD:C_0603_HandSoldering,
C12,100nf,Capacitors_SMD:C_0603_HandSoldering,
SW2,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVQPE1,
R10,0R,Capacitors_SMD:C_0603_HandSoldering,
C14,2.2uf,Capacitors_SMD:C_0603_HandSoldering,
C13,2.2uf,Capacitors_SMD:C_0603_HandSoldering,
C9,22pf,Capacitors_SMD:C_0603_HandSoldering,
C8,22pf,Capacitors_SMD:C_0603_HandSoldering,
Y1,16MHz,Crystals:Crystal_HC49-U_Vertical,
C11,6pf,Capacitors_SMD:C_0603_HandSoldering,
C10,6pf,Capacitors_SMD:C_0603_HandSoldering,
Y2,32.768k,Crystals:Crystal_Round_Horizontal_3mm,
P2,CON,Pin_Headers:Pin_Header_Straight_2x03,
R2,10K,Capacitors_SMD:C_0603_HandSoldering,
R6,10K,Capacitors_SMD:C_0603_HandSoldering,
SW1,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVQPE1,
P4,SWD,Pin_Headers:Pin_Header_Straight_1x04,
P3,UART1,Pin_Headers:Pin_Header_Straight_1x03,
D1,LED,Capacitors_SMD:C_0603_HandSoldering,
R1,330,Capacitors_SMD:C_0603_HandSoldering,
D2,LED,Capacitors_SMD:C_0603_HandSoldering,
R3,330,Capacitors_SMD:C_0603_HandSoldering,
D3,LED,Capacitors_SMD:C_0603_HandSoldering,
R4,330,Capacitors_SMD:C_0603_HandSoldering,
D4,LED,Capacitors_SMD:C_0603_HandSoldering,
R5,330,Capacitors_SMD:C_0603_HandSoldering,
U4,LM1117-3.3,TO_SOT_Packages_SMD:SOT-223,
C28,10uf,Capacitors_SMD:C_0805_HandSoldering,
C29,100nf,Capacitors_SMD:C_0603_HandSoldering,
C24,10uf,Capacitors_SMD:C_0805_HandSoldering,
C26,100nf,Capacitors_SMD:C_0603_HandSoldering,
U5,LM1117-1.8,TO_SOT_Packages_SMD:SOT-223,
C25,10uf,Capacitors_SMD:C_0805_HandSoldering,
C27,100nf,Capacitors_SMD:C_0603_HandSoldering,
R12,0R(NC),Capacitors_SMD:C_0603_HandSoldering,
R13,0R,Capacitors_SMD:C_0603_HandSoldering,
D5,LED,Capacitors_SMD:C_0603_HandSoldering,
R14,330,Capacitors_SMD:C_0603_HandSoldering,
P6,power,Pin_Headers:Pin_Header_Straight_1x02,
P7,UART2,Pin_Headers:Pin_Header_Straight_1x03,
P8,Debug,Pin_Headers:Pin_Header_Straight_1x05,
L4,1Kohms,Capacitors_SMD:C_0603_HandSoldering,
C30,2.2pf,Capacitors_SMD:C_0603_HandSoldering,
U1,CC2591,Housings_DFN_QFN:QFN-16-1EP_4x4mm_Pitch0.65mm,
