"Id";"代号";"封装";"数量";"名称";"供应商和REF";
1;"";"Symbol_OSHW-Logo_SilkScreen_BIG";1;"Symbol_OSHW-Logo_SilkScreen_BIG";;;
2;"P3,P2,P7";"U.FL";3;"sma";;;
3;"U1";"cc2591";1;"CC2591";;;
4;"U2";"LQFP-64_10x10mm_Pitch0.5mm";1;"STM32F405RGTx";;;
5;"C1,C15,C21";"C_0603_HandSoldering";3;"100nF";;;
6;"R7,R6";"R_0603_HandSoldering";2;"22";;;
7;"D1";"R_0805_HandSoldering";1;"D";;;
8;"R5,R3,R8,R11,R12,R13,R14,R15";"R_0603_HandSoldering";8;"10k";;;
9;"BT1";"Pin_Header_Straight_1x02";1;"Battery_Cell";;;
10;"C2";"C_0603_HandSoldering";1;"2.2Uf";;;
11;"C3";"C_0603_HandSoldering";1;"10uf";;;
12;"C4";"C_0402";1;"2p2";;;
13;"C5";"C_0603_HandSoldering";1;"2.2uf";;;
14;"C6,C10,C12,C13";"C_0603_HandSoldering";4;"1nF";;;
15;"C7";"C_0603_HandSoldering";1;"18nF";;;
16;"C8";"C_0402";1;"1pF";;;
17;"C9";"C_0402";1;"6p8";;;
18;"C11";"C_0603_HandSoldering";1;"10pF";;;
19;"C14";"C_0603_HandSoldering";1;"68p";;;
20;"C16,C32";"C_0603_HandSoldering";2;"10nF";;;
21;"C17,C20";"C_0603_HandSoldering";2;"68pF";;;
22;"C18,C19";"C_0603_HandSoldering";2;"27pF";;;
23;"C22,C25,C27,C28,C29,C30";"C_0603_HandSoldering";6;"4.7uF";;;
24;"C23";"C_0603_HandSoldering";1;"1uF";;;
25;"C24,C26,C31";"C_0603_HandSoldering";3;"2.2uF";;;
26;"C33";"C_0603_HandSoldering";1;"15pF";;;
27;"D2,D3,D4,D5,D6";"LED_0805";5;"LED";;;
28;"L1";"C_0402";1;"3nH";;;
29;"L2";"C_0402";1;"2n2";;;
30;"L4";"C_0603_HandSoldering";1;"FB";;;
31;"P1";"sma";1;"SMA";;;
32;"P4";"Pin_Header_Straight_1x03";1;"uart1";;;
33;"P5";"Pin_Header_Straight_1x03";1;"SWD";;;
34;"P6";"Pin_Header_Straight_2x03";1;"boot";;;
35;"R1";"R_0603_HandSoldering";1;"100k";;;
36;"R2";"R_0603_HandSoldering";1;"4k3";;;
37;"R4";"R_0603_HandSoldering";1;"43k";;;
38;"R9";"R_0603_HandSoldering";1;"49.9k";;;
39;"R10";"R_0603_HandSoldering";1;"30.1k";;;
40;"SW1";"SW_SPST_FSMSM";1;"SW_PUSH";;;
41;"U4";"tps712";1;"TPS712XX";;;
42;"U5";"winband_spi_flash";1;"M25PX32-VMW";;;
43;"J1";"USB_Mini-B_s";1;"USB_OTG";;;
44;"U3";"cc2400";1;"CC2400";;;
45;"Y1";"3225";1;"16m";;;
46;"";"kg_logo";1;"LOGO";;;
